	MC Sample	Luminosity	Cross Section (pb)	Number of Events	Calculated Weight
325	VV2l2nu	59830	11.95	9848488.0	0.07259677830749248
326	Tbar-tchan	59830	26.23	79090800.0	0.019842268633014207
327	T-tchan	59830	44.07	154130900.0	0.01710694026960201
328	Tbar-tW	59830	35.6	7623000.0	0.27941073068345795
329	T-tW	59830	35.6	9242000.0	0.23046396883791387
330	WJetsToLNu_HT-100To200	59830	1627.45	29521158.0	3.2983236463827064
331	WJetsToLNu_HT-200To400	59830	435.23699999999997	25468933.0	1.0224311206912358
332	WJetsToLNu_HT-400To600	59830	59.181099999999994	5932701.0	0.5968285293663037
333	WJetsToLNu_HT-600To800	59830	14.5805	19728401.0	0.04421804458455605
334	WJetsToLNu_HT-800To1200	59830	6.656210000000001	8402687.0	0.04739448753714139
335	WJetsToLNu_HT-1200To2500	59830	1.6080899999999998	7633949.0	0.012603178865879245
336	WJetsToLNu_HT-2500ToInf	59830	0.0389136	3273980.0	0.0007111224527944581
337	ZZ4l	59830	1.212	26371225.0	0.0027497380193752846
338	TTToSemiLeptonic	59830	365.308992	265706999.0	0.0822576637936436
339	TTTo2L2Nu	59830	88.249736	62300000.0	0.08475091019069021
340	TTToHadronic	59830	377.951744	317792000.0	0.07115614251938375
341	DYJetsToLL_Pt-50To100	59830	387.130778	120435658.0	0.19231874373734065
342	DYJetsToLL_Pt-100To250	59830	89.395097	81633326.0	0.06551869090216905
343	DYJetsToLL_Pt-250To400	59830	3.435181	20121253.0	0.010214417523103555
344	DYJetsToLL_Pt-400To650	59830	0.464024	1863809.0	0.0148956013840474
345	DYJetsToLL_Pt-650ToInf	59830	0.043602	1895998.0	0.001375902115930502
346	WZ3l1nu	59830	4.708	21997587.0	0.01280502447836665
347	WZ2l2q	59830	5.595	28193648.0	0.011873201013221132
348	WZ1l1nu2q	59830	10.71	68048958.0	0.009416445436240185
349	ZZ2l2q	59830	3.22	54856689.0	0.00351192540986205
350	WZ1l3nu	59830	3.05	1690064.0	0.10797313001164453
351	VV2l2nu	59830	11.95	9848488.0	0.07259677830749248
352	Tbar-tchan	59830	26.23	79090800.0	0.019842268633014207
353	T-tchan	59830	44.07	154130900.0	0.01710694026960201
354	Tbar-tW	59830	35.6	7623000.0	0.27941073068345795
355	T-tW	59830	35.6	9242000.0	0.23046396883791387
356	WJetsToLNu_HT-100To200	59830	1627.45	29521158.0	3.2983236463827064
357	WJetsToLNu_HT-200To400	59830	435.23699999999997	25468933.0	1.0224311206912358
358	WJetsToLNu_HT-400To600	59830	59.181099999999994	5932701.0	0.5968285293663037
359	WJetsToLNu_HT-600To800	59830	14.5805	19728401.0	0.04421804458455605
360	WJetsToLNu_HT-800To1200	59830	6.656210000000001	8402687.0	0.04739448753714139
361	WJetsToLNu_HT-1200To2500	59830	1.6080899999999998	7633949.0	0.012603178865879245
362	WJetsToLNu_HT-2500ToInf	59830	0.0389136	3273980.0	0.0007111224527944581
363	ZZ4l	59830	1.212	26371225.0	0.0027497380193752846
364	TTToSemiLeptonic	59830	365.308992	265706999.0	0.0822576637936436
365	TTTo2L2Nu	59830	88.249736	62300000.0	0.08475091019069021
366	TTToHadronic	59830	377.951744	317792000.0	0.07115614251938375
367	DYJetsToLL_Pt-50To100	59830	387.130778	120435658.0	0.19231874373734065
368	DYJetsToLL_Pt-100To250	59830	89.395097	81633326.0	0.06551869090216905
369	DYJetsToLL_Pt-250To400	59830	3.435181	20121253.0	0.010214417523103555
370	DYJetsToLL_Pt-400To650	59830	0.464024	1863809.0	0.0148956013840474
371	DYJetsToLL_Pt-650ToInf	59830	0.043602	1895998.0	0.001375902115930502
372	WZ3l1nu	59830	4.708	21997587.0	0.01280502447836665
373	WZ2l2q	59830	5.595	28193648.0	0.011873201013221132
374	WZ1l1nu2q	59830	10.71	68048958.0	0.009416445436240185
375	ZZ2l2q	59830	3.22	54856689.0	0.00351192540986205
376	WZ1l3nu	59830	3.05	1690064.0	0.10797313001164453
377	VV2l2nu	59830	11.95	9848488.0	0.07259677830749248
378	Tbar-tchan	59830	26.23	79090800.0	0.019842268633014207
379	T-tchan	59830	44.07	154130900.0	0.01710694026960201
380	Tbar-tW	59830	35.6	7623000.0	0.27941073068345795
381	T-tW	59830	35.6	9242000.0	0.23046396883791387
382	WJetsToLNu_HT-100To200	59830	1627.45	29521158.0	3.2983236463827064
383	WJetsToLNu_HT-200To400	59830	435.23699999999997	25468933.0	1.0224311206912358
384	WJetsToLNu_HT-400To600	59830	59.181099999999994	5932701.0	0.5968285293663037
385	WJetsToLNu_HT-600To800	59830	14.5805	19728401.0	0.04421804458455605
386	WJetsToLNu_HT-800To1200	59830	6.656210000000001	8402687.0	0.04739448753714139
387	WJetsToLNu_HT-1200To2500	59830	1.6080899999999998	7633949.0	0.012603178865879245
388	WJetsToLNu_HT-2500ToInf	59830	0.0389136	3273980.0	0.0007111224527944581
389	ZZ4l	59830	1.212	26371225.0	0.0027497380193752846
390	TTToSemiLeptonic	59830	365.308992	265706999.0	0.0822576637936436
391	TTTo2L2Nu	59830	88.249736	62300000.0	0.08475091019069021
392	TTToHadronic	59830	377.951744	317792000.0	0.07115614251938375
393	DYJetsToLL_Pt-50To100	59830	387.130778	120435658.0	0.19231874373734065
394	DYJetsToLL_Pt-100To250	59830	89.395097	81633326.0	0.06551869090216905
395	DYJetsToLL_Pt-250To400	59830	3.435181	20121253.0	0.010214417523103555
396	DYJetsToLL_Pt-400To650	59830	0.464024	1863809.0	0.0148956013840474
397	DYJetsToLL_Pt-650ToInf	59830	0.043602	1895998.0	0.001375902115930502
398	WZ3l1nu	59830	4.708	21997587.0	0.01280502447836665
399	WZ2l2q	59830	5.595	28193648.0	0.011873201013221132
400	WZ1l1nu2q	59830	10.71	68048958.0	0.009416445436240185
401	ZZ2l2q	59830	3.22	54856689.0	0.00351192540986205
402	WZ1l3nu	59830	3.05	1690064.0	0.10797313001164453
403	VV2l2nu	59830	11.95	9848488.0	0.07259677830749248
404	Tbar-tchan	59830	26.23	79090800.0	0.019842268633014207
405	T-tchan	59830	44.07	154130900.0	0.01710694026960201
406	Tbar-tW	59830	35.6	7623000.0	0.27941073068345795
407	T-tW	59830	35.6	9242000.0	0.23046396883791387
408	WJetsToLNu_HT-100To200	59830	1627.45	29521158.0	3.2983236463827064
409	WJetsToLNu_HT-200To400	59830	435.23699999999997	25468933.0	1.0224311206912358
410	WJetsToLNu_HT-400To600	59830	59.181099999999994	5932701.0	0.5968285293663037
411	WJetsToLNu_HT-600To800	59830	14.5805	19728401.0	0.04421804458455605
412	WJetsToLNu_HT-800To1200	59830	6.656210000000001	8402687.0	0.04739448753714139
413	WJetsToLNu_HT-1200To2500	59830	1.6080899999999998	7633949.0	0.012603178865879245
414	WJetsToLNu_HT-2500ToInf	59830	0.0389136	3273980.0	0.0007111224527944581
415	ZZ4l	59830	1.212	26371225.0	0.0027497380193752846
416	TTToSemiLeptonic	59830	365.308992	265706999.0	0.0822576637936436
417	TTTo2L2Nu	59830	88.249736	62300000.0	0.08475091019069021
418	TTToHadronic	59830	377.951744	317792000.0	0.07115614251938375
419	DYJetsToLL_Pt-50To100	59830	387.130778	120435658.0	0.19231874373734065
420	DYJetsToLL_Pt-100To250	59830	89.395097	81633326.0	0.06551869090216905
421	DYJetsToLL_Pt-250To400	59830	3.435181	20121253.0	0.010214417523103555
422	DYJetsToLL_Pt-400To650	59830	0.464024	1863809.0	0.0148956013840474
423	DYJetsToLL_Pt-650ToInf	59830	0.043602	1895998.0	0.001375902115930502
424	WZ3l1nu	59830	4.708	21997587.0	0.01280502447836665
425	WZ2l2q	59830	5.595	28193648.0	0.011873201013221132
426	WZ1l1nu2q	59830	10.71	68048958.0	0.009416445436240185
427	ZZ2l2q	59830	3.22	54856689.0	0.00351192540986205
428	WZ1l3nu	59830	3.05	1690064.0	0.10797313001164453
429	VV2l2nu	59830	11.95	9848488.0	0.07259677830749248
430	Tbar-tchan	59830	26.23	79090800.0	0.019842268633014207
431	T-tchan	59830	44.07	154130900.0	0.01710694026960201
432	Tbar-tW	59830	35.6	7623000.0	0.27941073068345795
433	T-tW	59830	35.6	9242000.0	0.23046396883791387
434	WJetsToLNu_HT-100To200	59830	1627.45	29521158.0	3.2983236463827064
435	WJetsToLNu_HT-200To400	59830	435.23699999999997	25468933.0	1.0224311206912358
436	WJetsToLNu_HT-400To600	59830	59.181099999999994	5932701.0	0.5968285293663037
437	WJetsToLNu_HT-600To800	59830	14.5805	19728401.0	0.04421804458455605
438	WJetsToLNu_HT-800To1200	59830	6.656210000000001	8402687.0	0.04739448753714139
439	WJetsToLNu_HT-1200To2500	59830	1.6080899999999998	7633949.0	0.012603178865879245
440	WJetsToLNu_HT-2500ToInf	59830	0.0389136	3273980.0	0.0007111224527944581
441	ZZ4l	59830	1.212	26371225.0	0.0027497380193752846
442	TTToSemiLeptonic	59830	365.308992	265706999.0	0.0822576637936436
443	TTTo2L2Nu	59830	88.249736	62300000.0	0.08475091019069021
444	TTToHadronic	59830	377.951744	317792000.0	0.07115614251938375
445	DYJetsToLL_Pt-50To100	59830	387.130778	120435658.0	0.19231874373734065
446	DYJetsToLL_Pt-100To250	59830	89.395097	81633326.0	0.06551869090216905
447	DYJetsToLL_Pt-250To400	59830	3.435181	20121253.0	0.010214417523103555
448	DYJetsToLL_Pt-400To650	59830	0.464024	1863809.0	0.0148956013840474
449	DYJetsToLL_Pt-650ToInf	59830	0.043602	1895998.0	0.001375902115930502
450	WZ3l1nu	59830	4.708	21997587.0	0.01280502447836665
451	WZ2l2q	59830	5.595	28193648.0	0.011873201013221132
452	WZ1l1nu2q	59830	10.71	68048958.0	0.009416445436240185
453	ZZ2l2q	59830	3.22	54856689.0	0.00351192540986205
454	WZ1l3nu	59830	3.05	1690064.0	0.10797313001164453
455	VV2l2nu	59830	11.95	9848488.0	0.07259677830749248
456	Tbar-tchan	59830	26.23	79090800.0	0.019842268633014207
457	T-tchan	59830	44.07	154130900.0	0.01710694026960201
458	Tbar-tW	59830	35.6	7623000.0	0.27941073068345795
459	T-tW	59830	35.6	9242000.0	0.23046396883791387
460	WJetsToLNu_HT-100To200	59830	1627.45	29521158.0	3.2983236463827064
461	WJetsToLNu_HT-200To400	59830	435.23699999999997	25468933.0	1.0224311206912358
462	WJetsToLNu_HT-400To600	59830	59.181099999999994	5932701.0	0.5968285293663037
463	WJetsToLNu_HT-600To800	59830	14.5805	19728401.0	0.04421804458455605
464	WJetsToLNu_HT-800To1200	59830	6.656210000000001	8402687.0	0.04739448753714139
465	WJetsToLNu_HT-1200To2500	59830	1.6080899999999998	7633949.0	0.012603178865879245
466	WJetsToLNu_HT-2500ToInf	59830	0.0389136	3273980.0	0.0007111224527944581
467	ZZ4l	59830	1.212	26371225.0	0.0027497380193752846
468	TTToSemiLeptonic	59830	365.308992	265706999.0	0.0822576637936436
469	TTTo2L2Nu	59830	88.249736	62300000.0	0.08475091019069021
470	TTToHadronic	59830	377.951744	317792000.0	0.07115614251938375
471	DYJetsToLL_Pt-50To100	59830	387.130778	120435658.0	0.19231874373734065
472	DYJetsToLL_Pt-100To250	59830	89.395097	81633326.0	0.06551869090216905
473	DYJetsToLL_Pt-250To400	59830	3.435181	20121253.0	0.010214417523103555
474	DYJetsToLL_Pt-400To650	59830	0.464024	1863809.0	0.0148956013840474
475	DYJetsToLL_Pt-650ToInf	59830	0.043602	1895998.0	0.001375902115930502
476	WZ3l1nu	59830	4.708	21997587.0	0.01280502447836665
477	WZ2l2q	59830	5.595	28193648.0	0.011873201013221132
478	WZ1l1nu2q	59830	10.71	68048958.0	0.009416445436240185
479	ZZ2l2q	59830	3.22	54856689.0	0.00351192540986205
480	WZ1l3nu	59830	3.05	1690064.0	0.10797313001164453
481	VV2l2nu	59830	11.95	9848488.0	0.07259677830749248
482	Tbar-tchan	59830	26.23	79090800.0	0.019842268633014207
483	T-tchan	59830	44.07	154130900.0	0.01710694026960201
484	Tbar-tW	59830	35.6	7623000.0	0.27941073068345795
485	T-tW	59830	35.6	9242000.0	0.23046396883791387
486	WJetsToLNu_HT-100To200	59830	1627.45	29521158.0	3.2983236463827064
487	WJetsToLNu_HT-200To400	59830	435.23699999999997	25468933.0	1.0224311206912358
488	WJetsToLNu_HT-400To600	59830	59.181099999999994	5932701.0	0.5968285293663037
489	WJetsToLNu_HT-600To800	59830	14.5805	19728401.0	0.04421804458455605
490	WJetsToLNu_HT-800To1200	59830	6.656210000000001	8402687.0	0.04739448753714139
491	WJetsToLNu_HT-1200To2500	59830	1.6080899999999998	7633949.0	0.012603178865879245
492	WJetsToLNu_HT-2500ToInf	59830	0.0389136	3273980.0	0.0007111224527944581
493	ZZ4l	59830	1.212	26371225.0	0.0027497380193752846
494	TTToSemiLeptonic	59830	365.308992	265706999.0	0.0822576637936436
495	TTTo2L2Nu	59830	88.249736	62300000.0	0.08475091019069021
496	TTToHadronic	59830	377.951744	317792000.0	0.07115614251938375
497	DYJetsToLL_Pt-50To100	59830	387.130778	120435658.0	0.19231874373734065
498	DYJetsToLL_Pt-100To250	59830	89.395097	81633326.0	0.06551869090216905
499	DYJetsToLL_Pt-250To400	59830	3.435181	20121253.0	0.010214417523103555
500	DYJetsToLL_Pt-400To650	59830	0.464024	1863809.0	0.0148956013840474
501	DYJetsToLL_Pt-650ToInf	59830	0.043602	1895998.0	0.001375902115930502
502	WZ3l1nu	59830	4.708	21997587.0	0.01280502447836665
503	WZ2l2q	59830	5.595	28193648.0	0.011873201013221132
504	WZ1l1nu2q	59830	10.71	68048958.0	0.009416445436240185
505	ZZ2l2q	59830	3.22	54856689.0	0.00351192540986205
506	WZ1l3nu	59830	3.05	1690064.0	0.10797313001164453
507	VV2l2nu	59830	11.95	9848488.0	0.07259677830749248
508	Tbar-tchan	59830	26.23	79090800.0	0.019842268633014207
509	T-tchan	59830	44.07	154130900.0	0.01710694026960201
510	Tbar-tW	59830	35.6	7623000.0	0.27941073068345795
511	T-tW	59830	35.6	9242000.0	0.23046396883791387
512	WJetsToLNu_HT-100To200	59830	1627.45	29521158.0	3.2983236463827064
513	WJetsToLNu_HT-200To400	59830	435.23699999999997	25468933.0	1.0224311206912358
514	WJetsToLNu_HT-400To600	59830	59.181099999999994	5932701.0	0.5968285293663037
515	WJetsToLNu_HT-600To800	59830	14.5805	19728401.0	0.04421804458455605
516	WJetsToLNu_HT-800To1200	59830	6.656210000000001	8402687.0	0.04739448753714139
517	WJetsToLNu_HT-1200To2500	59830	1.6080899999999998	7633949.0	0.012603178865879245
518	WJetsToLNu_HT-2500ToInf	59830	0.0389136	3273980.0	0.0007111224527944581
519	ZZ4l	59830	1.212	26371225.0	0.0027497380193752846
520	TTToSemiLeptonic	59830	365.308992	265706999.0	0.0822576637936436
521	TTTo2L2Nu	59830	88.249736	62300000.0	0.08475091019069021
522	TTToHadronic	59830	377.951744	317792000.0	0.07115614251938375
523	DYJetsToLL_Pt-50To100	59830	387.130778	120435658.0	0.19231874373734065
524	DYJetsToLL_Pt-100To250	59830	89.395097	81633326.0	0.06551869090216905
525	DYJetsToLL_Pt-250To400	59830	3.435181	20121253.0	0.010214417523103555
526	DYJetsToLL_Pt-400To650	59830	0.464024	1863809.0	0.0148956013840474
527	DYJetsToLL_Pt-650ToInf	59830	0.043602	1895998.0	0.001375902115930502
528	WZ3l1nu	59830	4.708	21997587.0	0.01280502447836665
529	WZ2l2q	59830	5.595	28193648.0	0.011873201013221132
530	WZ1l1nu2q	59830	10.71	68048958.0	0.009416445436240185
531	ZZ2l2q	59830	3.22	54856689.0	0.00351192540986205
532	WZ1l3nu	59830	3.05	1690064.0	0.10797313001164453
533	VV2l2nu	59830	11.95	9848488.0	0.07259677830749248
534	Tbar-tchan	59830	26.23	79090800.0	0.019842268633014207
535	T-tchan	59830	44.07	154130900.0	0.01710694026960201
536	Tbar-tW	59830	35.6	7623000.0	0.27941073068345795
537	T-tW	59830	35.6	9242000.0	0.23046396883791387
538	WJetsToLNu_HT-100To200	59830	1627.45	29521158.0	3.2983236463827064
539	WJetsToLNu_HT-200To400	59830	435.23699999999997	25468933.0	1.0224311206912358
540	WJetsToLNu_HT-400To600	59830	59.181099999999994	5932701.0	0.5968285293663037
541	WJetsToLNu_HT-600To800	59830	14.5805	19728401.0	0.04421804458455605
542	WJetsToLNu_HT-800To1200	59830	6.656210000000001	8402687.0	0.04739448753714139
543	WJetsToLNu_HT-1200To2500	59830	1.6080899999999998	7633949.0	0.012603178865879245
544	WJetsToLNu_HT-2500ToInf	59830	0.0389136	3273980.0	0.0007111224527944581
545	ZZ4l	59830	1.212	26371225.0	0.0027497380193752846
546	TTToSemiLeptonic	59830	365.308992	265706999.0	0.0822576637936436
547	TTTo2L2Nu	59830	88.249736	62300000.0	0.08475091019069021
548	TTToHadronic	59830	377.951744	317792000.0	0.07115614251938375
549	DYJetsToLL_Pt-50To100	59830	387.130778	120435658.0	0.19231874373734065
550	DYJetsToLL_Pt-100To250	59830	89.395097	81633326.0	0.06551869090216905
551	DYJetsToLL_Pt-250To400	59830	3.435181	20121253.0	0.010214417523103555
552	DYJetsToLL_Pt-400To650	59830	0.464024	1863809.0	0.0148956013840474
553	DYJetsToLL_Pt-650ToInf	59830	0.043602	1895998.0	0.001375902115930502
554	WZ3l1nu	59830	4.708	21997587.0	0.01280502447836665
555	WZ2l2q	59830	5.595	28193648.0	0.011873201013221132
556	WZ1l1nu2q	59830	10.71	68048958.0	0.009416445436240185
557	ZZ2l2q	59830	3.22	54856689.0	0.00351192540986205
558	WZ1l3nu	59830	3.05	1690064.0	0.10797313001164453
559	VV2l2nu	59830	11.95	9848488.0	0.07259677830749248
560	Tbar-tchan	59830	26.23	79090800.0	0.019842268633014207
561	T-tchan	59830	44.07	154130900.0	0.01710694026960201
562	Tbar-tW	59830	35.6	7623000.0	0.27941073068345795
563	T-tW	59830	35.6	9242000.0	0.23046396883791387
564	WJetsToLNu_HT-100To200	59830	1627.45	29521158.0	3.2983236463827064
565	WJetsToLNu_HT-200To400	59830	435.23699999999997	25468933.0	1.0224311206912358
566	WJetsToLNu_HT-400To600	59830	59.181099999999994	5932701.0	0.5968285293663037
567	WJetsToLNu_HT-600To800	59830	14.5805	19728401.0	0.04421804458455605
568	WJetsToLNu_HT-800To1200	59830	6.656210000000001	8402687.0	0.04739448753714139
569	WJetsToLNu_HT-1200To2500	59830	1.6080899999999998	7633949.0	0.012603178865879245
570	WJetsToLNu_HT-2500ToInf	59830	0.0389136	3273980.0	0.0007111224527944581
571	ZZ4l	59830	1.212	26371225.0	0.0027497380193752846
572	TTToSemiLeptonic	59830	365.308992	265706999.0	0.0822576637936436
573	TTTo2L2Nu	59830	88.249736	62300000.0	0.08475091019069021
574	TTToHadronic	59830	377.951744	317792000.0	0.07115614251938375
575	DYJetsToLL_Pt-50To100	59830	387.130778	120435658.0	0.19231874373734065
576	DYJetsToLL_Pt-100To250	59830	89.395097	81633326.0	0.06551869090216905
577	DYJetsToLL_Pt-250To400	59830	3.435181	20121253.0	0.010214417523103555
578	DYJetsToLL_Pt-400To650	59830	0.464024	1863809.0	0.0148956013840474
579	DYJetsToLL_Pt-650ToInf	59830	0.043602	1895998.0	0.001375902115930502
580	WZ3l1nu	59830	4.708	21997587.0	0.01280502447836665
581	WZ2l2q	59830	5.595	28193648.0	0.011873201013221132
582	WZ1l1nu2q	59830	10.71	68048958.0	0.009416445436240185
583	ZZ2l2q	59830	3.22	54856689.0	0.00351192540986205
584	WZ1l3nu	59830	3.05	1690064.0	0.10797313001164453
585	VV2l2nu	59830	11.95	9848488.0	0.07259677830749248
586	Tbar-tchan	59830	26.23	79090800.0	0.019842268633014207
587	T-tchan	59830	44.07	154130900.0	0.01710694026960201
588	Tbar-tW	59830	35.6	7623000.0	0.27941073068345795
589	T-tW	59830	35.6	9242000.0	0.23046396883791387
590	WJetsToLNu_HT-100To200	59830	1627.45	29521158.0	3.2983236463827064
591	WJetsToLNu_HT-200To400	59830	435.23699999999997	25468933.0	1.0224311206912358
592	WJetsToLNu_HT-400To600	59830	59.181099999999994	5932701.0	0.5968285293663037
593	WJetsToLNu_HT-600To800	59830	14.5805	19728401.0	0.04421804458455605
594	WJetsToLNu_HT-800To1200	59830	6.656210000000001	8402687.0	0.04739448753714139
595	WJetsToLNu_HT-1200To2500	59830	1.6080899999999998	7633949.0	0.012603178865879245
596	WJetsToLNu_HT-2500ToInf	59830	0.0389136	3273980.0	0.0007111224527944581
597	ZZ4l	59830	1.212	26371225.0	0.0027497380193752846
598	TTToSemiLeptonic	59830	365.308992	265706999.0	0.0822576637936436
599	TTTo2L2Nu	59830	88.249736	62300000.0	0.08475091019069021
600	TTToHadronic	59830	377.951744	317792000.0	0.07115614251938375
601	DYJetsToLL_Pt-50To100	59830	387.130778	120435658.0	0.19231874373734065
602	DYJetsToLL_Pt-100To250	59830	89.395097	81633326.0	0.06551869090216905
603	DYJetsToLL_Pt-250To400	59830	3.435181	20121253.0	0.010214417523103555
604	DYJetsToLL_Pt-400To650	59830	0.464024	1863809.0	0.0148956013840474
605	DYJetsToLL_Pt-650ToInf	59830	0.043602	1895998.0	0.001375902115930502
606	WZ3l1nu	59830	4.708	21997587.0	0.01280502447836665
607	WZ2l2q	59830	5.595	28193648.0	0.011873201013221132
608	WZ1l1nu2q	59830	10.71	68048958.0	0.009416445436240185
609	ZZ2l2q	59830	3.22	54856689.0	0.00351192540986205
610	WZ1l3nu	59830	3.05	1690064.0	0.10797313001164453
611	VV2l2nu	59830	11.95	9848488.0	0.07259677830749248
612	Tbar-tchan	59830	26.23	79090800.0	0.019842268633014207
613	T-tchan	59830	44.07	154130900.0	0.01710694026960201
614	Tbar-tW	59830	35.6	7623000.0	0.27941073068345795
615	T-tW	59830	35.6	9242000.0	0.23046396883791387
616	WJetsToLNu_HT-100To200	59830	1627.45	29521158.0	3.2983236463827064
617	WJetsToLNu_HT-200To400	59830	435.23699999999997	25468933.0	1.0224311206912358
618	WJetsToLNu_HT-400To600	59830	59.181099999999994	5932701.0	0.5968285293663037
619	WJetsToLNu_HT-600To800	59830	14.5805	19728401.0	0.04421804458455605
620	WJetsToLNu_HT-800To1200	59830	6.656210000000001	8402687.0	0.04739448753714139
621	WJetsToLNu_HT-1200To2500	59830	1.6080899999999998	7633949.0	0.012603178865879245
622	WJetsToLNu_HT-2500ToInf	59830	0.0389136	3273980.0	0.0007111224527944581
623	ZZ4l	59830	1.212	26371225.0	0.0027497380193752846
624	TTToSemiLeptonic	59830	365.308992	265706999.0	0.0822576637936436
625	TTTo2L2Nu	59830	88.249736	62300000.0	0.08475091019069021
626	TTToHadronic	59830	377.951744	317792000.0	0.07115614251938375
627	DYJetsToLL_Pt-50To100	59830	387.130778	120435658.0	0.19231874373734065
628	DYJetsToLL_Pt-100To250	59830	89.395097	81633326.0	0.06551869090216905
629	DYJetsToLL_Pt-250To400	59830	3.435181	20121253.0	0.010214417523103555
630	DYJetsToLL_Pt-400To650	59830	0.464024	1863809.0	0.0148956013840474
631	DYJetsToLL_Pt-650ToInf	59830	0.043602	1895998.0	0.001375902115930502
632	WZ3l1nu	59830	4.708	21997587.0	0.01280502447836665
633	WZ2l2q	59830	5.595	28193648.0	0.011873201013221132
634	WZ1l1nu2q	59830	10.71	68048958.0	0.009416445436240185
635	ZZ2l2q	59830	3.22	54856689.0	0.00351192540986205
636	WZ1l3nu	59830	3.05	1690064.0	0.10797313001164453
637	VV2l2nu	59830	11.95	9848488.0	0.07259677830749248
638	Tbar-tchan	59830	26.23	79090800.0	0.019842268633014207
639	T-tchan	59830	44.07	154130900.0	0.01710694026960201
640	Tbar-tW	59830	35.6	7623000.0	0.27941073068345795
641	T-tW	59830	35.6	9242000.0	0.23046396883791387
642	WJetsToLNu_HT-100To200	59830	1627.45	29521158.0	3.2983236463827064
643	WJetsToLNu_HT-200To400	59830	435.23699999999997	25468933.0	1.0224311206912358
644	WJetsToLNu_HT-400To600	59830	59.181099999999994	5932701.0	0.5968285293663037
645	WJetsToLNu_HT-600To800	59830	14.5805	19728401.0	0.04421804458455605
646	WJetsToLNu_HT-800To1200	59830	6.656210000000001	8402687.0	0.04739448753714139
647	WJetsToLNu_HT-1200To2500	59830	1.6080899999999998	7633949.0	0.012603178865879245
648	WJetsToLNu_HT-2500ToInf	59830	0.0389136	3273980.0	0.0007111224527944581
649	ZZ4l	59830	1.212	26371225.0	0.0027497380193752846
